ID,Answer
4941-17-3,1949年
4941-17-4,米高梅
4941-20-1,美國聯邦調查局
4941-20-2,1961年
4941-20-3,西部片
4941-24-1,奧圖·普萊明傑
4941-24-2,美國律師協會
4941-24-3,1960年
4941-25-1,家庭喜劇片
4941-25-2,《鳳凰劫》
4941-25-3,南北戰爭
4941-26-1,吉米·史都華
4941-26-2,1962年
4941-26-3,《安邦定國誌》
4941-3-1,1932年
4941-3-2,一百多年
4941-3-3,1929年
4941-36-1,越戰
4941-36-2,詹姆斯·史都華
4941-36-3,加州
4941-5-1,1934年
4941-5-2,7年
4941-5-3,1米93
4941-9-1,美西戰爭
4941-9-2,1941年
4941-9-3,體重過輕
5000-1-1,佛教
5000-1-2,釋迦牟尼
5000-1-3,受道家老子思想的用詞影響
2491-1-1,長沙太守
2491-1-2,荊州劉表
2491-1-3,許貢
2491-1-4,劉琮
2491-1-5,劉備
2491-2-1,江夏
2491-2-2,呂蒙
2491-2-3,復仇
2491-2-4,石亭之戰
5715-2-1,河東道
5715-2-2,民國16年
5715-2-3,1949年
5715-2-4,1955年
5715-2-5,1955年
5715-3-1,1000米
5715-3-2,海河流域
5715-3-3,東部
5715-3-4,汾河
6007-1-1,孟加拉
6007-1-2,帕吉勒提河
6007-1-3,印度教
6007-3-1,道里根加河
6007-3-2,將部分河水導入恆河運河
6007-3-3,喜馬拉雅山
6007-4-1,印度洋
6007-4-2,喜馬拉雅山脈
6007-4-3,印度河及恆河的沖積作用
2529-1-1,加勒比海
2529-1-2,英國
2529-1-3,阿內加達島
2529-1-4,阿拉瓦克印第安人
2529-1-5,歷史學家
2529-5-1,托土拉島
2529-5-2,北大西洋
2529-5-3,阿內加達島
2529-5-4,維京戈達島
5411-2-1,1920年代
5411-2-2,第二次世界大戰
5411-2-3,聯合國
5750-13-1,郭沫若
5750-13-2,「學習偉大領袖毛澤東」
5750-13-3,1959年
5750-15-1,4個
5750-15-2,「大學生研究計劃」
5750-15-3,15%
5750-17-1,1970年
5750-17-2,東校區
5750-17-3,1986年
5750-17-4,校園一卡通
5750-18-1,2012年
5750-18-2,合肥市政府
5750-18-3,玉泉北路
5750-18-4,櫻花大道
5750-19-1,天使路
5750-19-2,文化大革命
5750-19-3,西區圖書館
5750-5-1,1958年
5750-5-2,1958年
5750-5-3,1963年
5750-9-1,八六學潮
5750-9-2,「反對資產階級自由化」運動
5750-9-3,北京物理所任研究員，方勵之調北京天文臺任研究員
3385-1-1,地球大氣層及其他天體之外的虛空區域
3385-1-2,氫
3385-1-3,100公里的高度
3385-1-4,100公里
3385-1-5,7920公里/小時
3447-3-1,《北京條約》
3447-3-2,龍興之地
3447-3-3,移民實邊
3447-3-4,《中俄密約》
3447-3-5,1929年
6424-11-1,保加利亞
6424-11-2,1912年
6424-11-3,保加利亞
6424-13-1,1914年
6424-13-2,法國
6424-13-3,為了確保比利時的中立
6424-14-1,害怕德軍在東線戰線上沒有足夠兵力應付俄國
6424-14-2,為迅速取得西線勝利
6424-14-3,法國獲勝
6424-15-1,1915年
6424-15-2,毒氣
6424-15-3,為了制衡德軍
6424-17-1,俄國發生十月革命
6424-17-2,美軍
6424-17-3,1914年
6424-25-1,1918年
6424-25-2,不願送死
6424-25-3,1918年
6424-3-1,內需市場
6424-3-2,大英帝國
6424-3-3,貿易保護主義。當時德國和日本國內市場狹小而無法發展
2430-14-1,第三產業
2430-14-2,中世紀的漢撒同盟時代
2430-14-3,食品業
2430-14-4,5000噸級
2430-5-1,羅馬帝國
2430-5-2,4世紀
2430-5-3,阿拉曼人
2430-5-4,匈奴人
2430-5-5,1349年
2430-9-1,納粹黨
2430-9-2,猶太會堂
2430-9-3,1945年
2430-9-4,1998年
6310-2-1,原始宗教
6310-2-2,對大自然的崇拜
6310-2-3,舊石器時代
5383-1-1,氦
5383-1-2,加壓
5383-1-3,溫度
4904-1-1,妖怪
4904-1-2,妖怪學，包含在民俗學、民族學、文化人類學
4904-1-3,一切非理性力量的總合
4904-2-1,磷化氫
4904-2-2,江戶時代
4904-2-3,儒家思想
1181-3-1,中生代
1181-3-2,中生代
1181-3-3,新生代時期
1181-8-1,被子植物在白堊紀早期也開始發展，自熱帶地區開始出現，白堊紀的全球氣溫允許被子植物分布到極區。白堊紀早期出現的有木蘭和西番蓮。在白堊紀末期，被子植物已經成為許多地區的大型優勢植物，若以生物量計算，各地的優勢植物仍是蘇鐵、蕨類，直到白堊紀末滅絕事件的發生。在中生代的進程中，早期的大型動物逐漸減少，而小型動物的數量逐漸增多，包含蜥蜴、蛇、可能還有哺乳類、靈長類的祖先。白堊紀末滅絕事件更加重這種傾向，大型的主龍類消失，而鳥類與哺乳類繼續存活至今。中生代末發生了白堊紀滅絕事件，50%的生物滅絕，包括所有的恐龍。大多學者認為有一顆彗星撞擊地球，引起特大氣候變化，很多動物，尤其是冷血動物，無法適應低溫而滅絕。可是為何當時鱷魚一類的冷血動物卻存活，還是無可解答。
1181-8-2,被子植物在白堊紀早期也開始發展，自熱帶地區開始出現，白堊紀的全球氣溫允許被子植物分布到極區。白堊紀早期出現的有木蘭和西番蓮。在白堊紀末期，被子植物已經成為許多地區的大型優勢植物，若以生物量計算，各地的優勢植物仍是蘇鐵、蕨類，直到白堊紀末滅絕事件的發生。在中生代的進程中，早期的大型動物逐漸減少，而小型動物的數量逐漸增多，包含蜥蜴、蛇、可能還有哺乳類、靈長類的祖先。白堊紀末滅絕事件更加重這種傾向，大型的主龍類消失，而鳥類與哺乳類繼續存活至今。中生代末發生了白堊紀滅絕事件，50%的生物滅絕，包括所有的恐龍。大多學者認為有一顆彗星撞擊地球，引起特大氣候變化，很多動物，尤其是冷血動物，無法適應低溫而滅絕。可是為何當時鱷魚一類的冷血動物卻存活，還是無可解答。
1181-8-3,鱷魚
6159-1-1,宋高宗
6159-1-2,金
6159-1-3,岳飛
6159-2-1,積極進攻
6159-2-2,岳飛
6159-2-3,建炎二年
6159-8-1,收到十二道金牌班師回朝之時
6159-8-2,紹興十一年
6159-8-3,《刑部大理寺狀》
6362-1-1,華北平原
6362-1-2,乾隆皇帝
6362-1-3,1所
5546-1-1,皖系軍閥
5546-1-2,三次
5546-1-3,1926年
5546-1-4,1885年
5546-1-5,柏林陸軍學院
5546-4-1,武昌起義
5546-4-2,段祺瑞
5546-4-3,1912年
5546-6-1,段祺瑞
5546-6-2,黎元洪
5546-6-3,馮國璋
5546-6-4,1918年
5546-9-1,北京
5546-9-2,1918年
5546-9-3,靳雲鵬
5445-1-1,世襲制度
5445-1-2,帝位世襲
5445-1-3,次級領導人
5445-1-4,統帥
5764-1-1,10度
5764-1-2,2000公厘
5764-1-3,為爭取陽光
5764-3-1,南緯30度
5764-3-2,300公厘
5764-3-3,防火能力
6493-4-1,廣州鐵路公司
6493-4-2,1936年
6493-4-3,南昌
3247-1-1,申城
3247-1-2,信陽市
3247-1-3,信陽市
3247-1-4,十多個
3247-1-5,信陽市
3247-2-1,八千多年前
3247-2-2,信陽申侯
3247-2-3,期思陂
3247-2-4,孫叔敖
3247-2-5,信陽長台關編鐘
5699-10-1,武漢
5699-10-2,陳誠
5699-10-3,黃琪翔
5699-3-1,浙江紹興浙軍第二旅第六團第三連當見習官
5699-3-2,鄧演達
5699-3-3,孫中山
5699-3-4,蔣中正
5699-4-1,黃埔軍校
5699-4-2,教育副官
5699-4-3,上尉特別官佐，即候差軍官，擔任教育副官
5699-4-4,陳誠
5699-8-1,西京招待所
5699-8-2,蔣介石
5699-8-3,武漢行營副主任
3456-2-1,中國
3456-2-2,英國
3456-2-3,油田
3456-2-4,1909年
3456-2-5,一場消耗戰
3311-4-1,陶瓷
3311-4-2,工藝
3311-4-3,脫殼穿甲彈
3311-4-4,以色列
3311-4-5,英國
3524-2-1,日本
3524-2-2,梁啟超
3524-2-3,胡安·林茲
3524-2-4,意識型態
3524-5-1,意識型態上的極權主義傾向
3524-5-2,馬克思主義
3524-5-3,極權主義
3524-5-4,中產階級
3524-6-1,中華民國台灣
3524-6-2,唯泰主義
3524-6-3,動員勘亂時期臨時條款
3524-6-4,共產黨
3524-6-5,文化大革命
5599-2-1,2012年
5599-2-2,2013年
5599-2-3,金融廳
5599-3-1,1984年
5599-3-2,1996年
5599-3-3,股份制
6092-1-1,聖方濟·沙勿略
6092-1-2,耶穌會
6092-1-3,西班牙人入侵納瓦爾
6092-3-1,中國
6092-3-2,明朝
6092-3-3,建造
6219-2-1,28歲
6219-2-2,三屆
6219-2-3,1991年
5535-3-1,蘇聯
5535-3-2,五角星
5535-3-3,古巴
6375-2-1,英國
6375-2-2,1960年
6375-2-3,阿布巴卡爾
6375-5-1,奈及利亞
6375-5-2,奈及利亞
6375-5-3,民主制度的恢復
6519-1-1,潘普洛納
6519-1-2,1512年
6519-1-3,菲利浦五世
2505-10-1,後代
2505-10-2,南方墨點法
2505-10-3,雜交帶
2505-10-4,西方墨點法
2505-7-1,1967年
2505-7-2,DNA的分子鏈被切開後，還得縫接起來以完成基因的拼接。1967年，科學家們在5個實驗室里幾乎同時發現並提取出一種酶，這種酶可以將兩個DNA片段連線起來，修復好DNA鏈的斷裂口。1974年以後科學界正式肯定了這一發現，並把這種酶叫作DNA連線酶。從此，DNA連線酶就成了名符其實的縫合基因的分子針線。只要在用同一種分子剪刀剪下的兩種DNA碎片中加上分子針線，就會把兩種DNA片段重新連線起來。DNA的操作通常發生在質體內。使用重組DNA技術，例如限制性消化，連線和分子複製製備構建體。其中一種常見的技術是將新的遺傳物質插入宿主基因組中的特定位置，或在所需的能夠敲除的基因組位點產生突變內源基因。基因靶向技術使用同源重組來靶向特定內源基因的期望變化。這在植物和動物中發生的頻率相對較低，並且通常需要使用選擇標記基因。使用工程化核酸酶如鋅指核酸酶，工程改造的歸巢核酸內切酶或由TAL效應物產生的核酸酶，可以大大增強基因靶向的頻率。
2505-7-3,限制性消化
2505-7-4,工程化核酸酶
2505-8-1,遺傳物質
2505-8-2,傳送其基因組進入
2505-8-3,分裂
2505-8-4,生物學研究
2505-9-1,外部刺激
2505-9-2,顯微注射
2505-9-3,植物
2505-9-4,生物動力學
2505-9-5,電穿孔細胞
6419-2-1,大陸性季風氣侯
6419-2-2,120天
6419-2-3,世界三大黑土地
5378-4-1,淮安
5378-4-2,清廣東水師提督
5378-4-3,淮安
4869-1-1,英國
4869-1-2,國家起源說
4869-1-3,1651年
4869-10-1,一種無限制的、自私、而野蠻的競爭情況
4869-10-2,哲學原理研究
4869-10-3,1654年
4869-6-1,1640年
4869-6-2,笛卡爾
4869-6-3,1642年
5418-4-1,29個
5418-4-2,西班牙
5418-4-3,義大利
1167-2-1,亞俄
1167-2-2,突厥汗國
1167-2-3,後金
6418-1-1,《中華人民共和國村民委員會組織法》
6418-1-2,1984年
6418-1-3,1982年
6418-1-4,村民委員會
2518-3-1,希臘
2518-3-2,理查特里維西克
2518-3-3,1829年
2518-3-4,1820年代
2518-3-5,柴油
1150-1-1,天文學家
1150-1-2,中午12點
1150-1-3,小數
1150-2-1,7980年
1150-2-2,1月2日
1150-2-3,约瑟夫·斯卡利格
4949-2-1,阿伊努人
4949-2-2,英國
4949-2-3,狩獵採集社會
3454-3-1,性善論
3454-3-2,閉門思過
3454-3-3,荀子
3454-3-4,荀子
3454-3-5,法家
6292-36-1,推行反共政策
6292-36-2,美國
6292-36-3,菲律賓
6292-38-1,因戰時的盟軍破壞
6292-38-2,銅鑼灣
6292-38-3,50%
6292-39-1,華人
6292-39-2,新加坡
6292-39-3,六十年代
6292-41-1,1980年
6292-41-2,達不到香港女性非常高的擇偶條件
6292-41-3,大陸新移民
6292-41-4,中國政府因開放市場的需要
6292-42-1,廣州
6292-42-2,2009年
6292-42-3,七年
6292-47-1,北角
6292-47-2,福建社團聯會
6292-47-3,蔡素玉
6292-55-1,1898年
6292-55-2,新界
6292-55-3,新界鄉村的代表
6292-58-1,即捕即解實施前
6292-58-2,706萬
6292-58-3,廣東籍
6292-60-1,廣西廣府人
6292-60-2,粵西
6292-60-3,廣州話
6292-62-1,港島區
6292-62-2,許榮茂
6292-62-3,許榮茂
6292-62-4,1997年
6292-66-1,不如
6292-66-2,軍閥混戰
6292-66-3,福建人
6292-71-1,黃大仙區
6292-71-2,香港洗碗工引來全國熱話，香港最低工資
6292-71-3,想取快錢
6292-71-4,90年代
6292-74-1,國民黨
6292-74-2,上海
6292-74-3,1967年
6292-74-4,福建華僑
6292-81-1,2000年代
6292-81-2,外傭
6292-81-3,女性
6135-5-1,「天」的至高無上
6135-5-2,增加西側的空曠程度
6135-5-3,柏樹林
6405-11-1,當地印度組織
6405-11-2,1913年
6405-11-3,孟加拉
6405-12-1,全印穆斯林聯盟
6405-12-2,勒克瑙協定
6405-12-3,憲政改革
6405-12-4,1919年
6405-16-1,「印度國民軍士兵大審判」
6405-16-2,不列顛印度軍隊
6405-16-3,1947年
6405-5-1,爭取民族權利
6405-5-2,為了繼續吞併全印度
6405-5-3,1856年
6405-5-4,奧德
6405-6-1,動物脂肪
6405-6-2,主要由穆斯林和印度教徒構成
6405-6-3,1859年
6405-8-1,管理所屬行政區域的地方官員
6405-8-2,1910年代
6405-8-3,1861年
4885-1-1,1989年
4885-1-2,1952年
4885-1-3,六四天安門事件
5680-4-1,康熙
5680-4-2,光緒年間
5680-4-3,1949年
5680-4-4,靜谷
5680-4-5,中華民國初年
5680-6-1,1979年
5680-6-2,清順治帝
5680-6-3,乾隆
5680-7-1,七間
5680-7-2,涵元門
5680-7-3,涵元殿
5680-7-4,景星殿
6385-11-1,應該維持現狀：儘快宣布獨立
6385-11-2,1954年
6385-11-3,第2758號
6385-12-1,艾森豪
6385-12-2,蔣中正
6385-12-3,麥克阿瑟
6385-14-1,「以農養工」
6385-14-2,1960年代
6385-14-3,高雄
6385-16-1,反共思想
6385-16-2,1968年
6385-16-3,九年一貫之綱要文句太含糊
6385-20-1,王藍
6385-20-2,現代主義文學
6385-20-3,1977年
6385-20-4,1970年代
6385-21-1,健康寫實電影
6385-21-2,臺灣外交困境
6385-21-3,1980年代
6385-5-1,《動員戡亂時期臨時條款》
6385-5-2,1949年
6385-5-3,《臺灣自救運動宣言》
6385-7-1,1989年
6385-7-2,臺灣舉行總統大選
6385-7-3,分散了泛國民黨支持者的票源
6385-8-1,馬英九
6385-8-2,2008年
6385-8-3,1席
5673-1-1,1998年
5673-1-2,香港國際機場
5673-1-3,東涌線
5673-3-1,衛奕信
5673-3-2,啟德機場
5673-3-3,機場快線
5673-3-4,1996年
6153-2-1,德國
6153-2-2,1651年
6153-2-3,四角號碼檢字法
6479-2-1,1237年
6479-2-2,拒絕投降
6479-2-3,伏爾加河
6479-3-1,志費尼
6479-3-2,元太宗
6479-3-3,突厥語
6479-4-1,突厥語
6479-4-2,吉爾吉斯人
6479-4-3,11世紀
6479-4-4,基督教
5725-1-1,兩個
5725-1-2,特瓦族
5725-1-3,特瓦族
5725-1-4,法語
5725-10-1,2010年
5725-10-2,過渡時期憲法
5725-10-3,多黨制
5725-12-1,70%
5725-12-2,圖西族
5725-12-3,哈比亞利馬納
5725-12-4,2010年
5725-17-1,紐格威森林
5725-17-2,金合歡
5725-17-3,火山國家公園
5725-18-1,731美元
5725-18-2,中華人民共和國
5725-18-3,盧安達法郎
5725-18-4,2015年
5725-2-1,2000年
5725-2-2,五個省
5725-2-3,盧安達
5725-2-4,1884年
5725-2-5,比利時
5725-24-1,天主教
5725-24-2,比利時
5725-24-3,盧安達語
5725-27-1,羅非魚
5725-27-2,比利時
5725-27-3,羊肉
5725-28-1,9年
5725-28-2,卡加梅
5725-28-3,2009年
5725-9-1,1994年
5725-9-2,薩伊
5725-9-3,45%
1186-2-1,預覽阿爾法版本
1186-2-2,希臘
1186-2-3,第一個階段
2534-1-1,西部
2534-1-2,冬無嚴寒
2534-1-3,漢武帝時期
2534-1-4,昆明千戶所，昆明始作為地名出現，延續至今。昆明一詞的含義，東晉常璩解釋說：夷人大種日昆，小種日叟。這句話可以解釋為人口眾多的昆明族。
2534-2-1,前279年
2534-2-2,漢武帝
2534-2-3,諸葛亮
2534-2-4,忽必烈
2534-5-1,1891米
2534-5-2,印度洋暖濕氣流
2534-5-3,21473平方公里
2534-5-4,第六次全國人口普查
2534-7-1,昆明巫家壩國際機場
2534-7-2,長水村
2534-7-3,4000米
2534-7-4,臺北
2534-8-1,滬昆高速公路
2534-8-2,公共汽車
2534-8-3,昆明公交公司
2534-8-4,236路車
3384-11-1,王光美
3384-11-2,黨內上層
3384-11-3,官僚主義者階級
3384-11-4,資本主義
3384-11-5,敵我矛盾
3384-15-1,1969年11月12日
3384-15-2,1980年2月24日
3384-15-3,鄧小平
3384-15-4,江青
3384-15-5,好在歷史是人民寫的
3384-7-1,周恩來
3384-7-2,周恩來
3384-7-3,毛澤東
3384-7-4,毛澤東
3384-7-5,劉少奇
3384-8-1,1953年12月
3384-8-2,大躍進運動
3384-8-3,1959年
3384-8-4,1958年底
3384-8-5,劉少奇為了維護毛的權威
3384-9-1,1961年
3384-9-2,毛澤東
3384-9-3,周恩來
3384-9-4,三分天災，七分人禍
3384-9-5,經濟建設
2448-2-1,工業發展
2448-2-2,伊爾庫茨克國立大學
2448-2-3,1997年
2448-2-4,銀色
2448-2-5,貝加爾湖
1164-2-1,肺呼氣機制
1164-2-2,三種不同的輔音長度
1164-2-3,氣流機制是通過聲道的氣流的產生機制。在大多數語言中，所有輔音都採取肺呼氣機制，但部分語言也會使用緊喉音、內破音、搭嘴音等氣流機制不同的輔音。長度為輔音的發音中，阻塞維持的時間。在日語、義大利語、芬蘭語等語言中，一般輔音與雙輔音代表不同的音位。在愛沙尼亞語及少數其他語言中，甚至有三種不同的輔音長度，雖然牽涉其中的發音差異較為複雜。發音時的力道是一個尚未完全確立的特點，因為目前沒有觀察到任何語言純綷以力道來區分不同輔音。所有的輔音均能以上述的特點加以描述，有些輔音會被區分為強或弱。所有的語言都有塞音，每一種語言至少會有其中的兩個音位。絕大多數語言至少都有一個鼻音音位。比如，阿拉巴霍語。大多數種類的語言都具有流音音位，只有少數種類的語言沒有流音，如達科他語、黑腳族語、艾非可語、西奧納語。
6433-1-1,參議院
6433-1-2,兩年
6433-1-3,眾議院
6433-2-1,1787年
6433-2-2,詹姆士·麥迪遜
6433-2-3,1789年
6433-2-4,北方的人口較南方多出許多
6433-3-1,聯邦在內戰中取勝
6433-3-2,湯瑪斯·勃蘭契特·瑞德
6433-3-3,「1910年革命
4912-6-1,一條簡單的直線
4912-6-2,1928年
4912-6-3,電視
4912-9-1,1939年
4912-9-2,二戰的爆發
4912-9-3,德國
4912-9-4,1972年
4946-1-1,一個環境涵蓋了所有生物之間的相互作用
4946-1-2,熱帶稀樹草原
4946-1-3,岩石圈
4946-3-1,小河流
4946-3-2,二氧化碳
4946-3-3,調節氣溫
4946-3-4,河川是一個天然的水道，通常為淡水，流向海洋、湖泊或另一條河川。在少數的情況下，河川在進入另一個水體之前，會先流入地面或完全蒸發。小河流又被稱為溪流、小溪或小河。河川是水文循環的一個部分，可以收集地表徑流水；補充地下水及泉水；將儲存型態為冰川和積雪的水資源釋出至環境中。地球上的大氣層是維持生態系統運作的一個重要因素，這層壟罩地球的薄薄的氣體是由重力所吸引聚集而成。乾燥空氣是由78%的氮氣、21%的氧氣及1%的氬氣及惰性氣體，如二氧化碳所組成。其它氣體通常被稱為微量氣體，其中有溫室氣體，如水蒸氣、二氧化碳、甲烷、一氧化二氮、臭氧。過濾後的空氣有其它微量化學物質的蹤跡。在未過濾的空氣中，存在著許多微量的自然物質，包括灰塵，花粉和孢子，浪花，火山灰和流星。各種化學物質也可能存在於空氣中，如氯、氟化合物、元素汞、二氧化硫和硫的化合物如SO2。地球大氣的臭氧層能夠減少紫外線輻射到達地球表面的量，保護地表上生物的DNA不被紫外線損壞。大氣層還有調節氣溫的功能，在晚間可以保存熱量，減少每日極端溫度的產生。氣候包括溫度，濕度，氣壓，風力，降水量，大氣粒子數及眾多其他氣象要素在很長時期及特定區域內的統計數據。與氣候相比，天氣是指這些氣象要素在近兩周內的實時狀態。氣候可根據不同氣象要素的平均範圍和特殊範圍進行分類，最常採用的變數為溫度和降水量。其中最常使用Koppen氣候分類系統。
6032-1-1,哈林河
6032-1-2,曼哈頓
6032-1-3,美國
6107-1-1,法國
6107-1-2,普法戰爭
6107-1-3,毛奇
6107-2-1,麥茨要塞
6107-2-2,9月1日
6107-2-3,法蘭西第二帝國
5731-2-1,北京電視台
5731-2-2,1958年
5731-2-3,1978年
5731-2-4,1988年
5731-4-1,2014年
5731-4-2,2016年
5731-4-3,1999年
5731-4-4,中央電視台高清綜合頻道
6020-1-1,豐田汽車
6020-1-2,1964年
6020-1-3,豐田汽車
6020-1-4,1980年代
6020-3-1,43.4%
6020-3-2,1990年代
6020-3-3,聯盟合作
6464-7-1,契約經濟
6464-7-2,石油危機
6464-7-3,37年
6047-2-1,新石器時代
6047-2-2,金石並用時代
6047-2-3,階級社會
6088-2-1,2000年
6088-2-2,交通部觀光局東北角暨宜蘭海岸國家風景區管理處
6088-2-3,福建林家
3324-1-1,中華民國實業部
3324-1-2,經濟部
3324-1-3,《中華民國臨時政府組織大綱》
3324-1-4,農礦部
1196-10-1,盟旗制
1196-10-2,盟旗制
1196-10-3,光緒十年
6214-1-1,中華人民共和國
6214-1-2,兩個
6214-1-3,1952年
6214-2-1,1966年
6214-2-2,被迫外遷
6214-2-3,國家地質總局
6214-4-1,1975年
6214-4-2,高等學校新生入學考試制度
6214-4-3,1980年
6214-5-1,1987年
6214-5-2,1987年
6214-5-3,地質類學科
1179-1-1,8200年
1179-1-2,道縣玉蟾岩
1179-1-3,玉米
1179-10-1,鬍鬚狀
1179-10-2,自體授粉
1179-10-3,隔壁雌粉上頭。與雌粉子房
1179-13-1,長高約八公分
1179-13-2,左手的大拇指
1179-13-3,八公分
1179-15-1,金黃飽滿
1179-15-2,三合院的前院
1179-15-3,免耕拋秧法
1179-22-1,米香
1179-22-2,米菓
1179-22-3,港式酒樓
1179-28-1,嚇阻鳥群
1179-28-2,製造空氣污染
1179-28-3,就地掩埋
1179-29-1,約5～8％
1179-29-2,亞洲
1179-29-3,國際水稻基因定序工程
1179-3-1,1083種
1179-3-2,粳稻
1179-3-3,中國科學院上海生命科學研究院韓斌為首的研究團隊，匯集出巨大資料庫，用來比對稻米基因體序列之細微變化。此資料庫涵蓋各地不同類型的普通野生稻計446種，粳稻和秈稻共1083種。野生稻是現在食用、販賣稻米的原生種。若干理論認為秈稻與野生稻是各自獨立栽培出來的，研究人員表示，透過拼出稻米品種的譜系，就能證明這種理論是錯的。第一種秈稻應是由粳稻和野生稻雜交培育而成。這個雜交種後來傳到東南亞、南亞，農民為適應各地環境，栽培出數種品種，因而產生獨特的秈稻。秈稻有20%左右為直鏈澱粉。屬中黏性。秈稻起源於亞熱帶，種植於熱帶和亞熱帶地區，生長期短，在無霜期長的地方一年可多次成熟。去殼成為秈米後，外觀細長、透明度低。
1179-33-1,「你吃飯了嗎？」
1179-33-2,李紳
1179-33-3,農歷新年
1179-38-1,農耕節
1179-38-2,南越地區
1179-38-3,越南
1179-4-1,紅
1179-4-2,一年
1179-4-3,粳稻
6018-1-1,二
6018-1-2,西洋棋殘局
6018-1-3,11世紀
5780-10-1,心室底壁組織
5780-10-2,球皺褶
5780-10-3,球皺褶
5780-15-1,內層的漿膜心包和外層的纖維心包
5780-15-2,髒層
5780-15-3,髒層
5780-15-4,閏盤
5780-15-5,階梯狀
5780-16-1,連接子
5780-16-2,鈣離子
5780-16-3,機械門控通道
5780-17-1,自律性
5780-17-2,神經源性
5780-17-3,自律心肌細胞
5780-22-1,第二心音
5780-22-2,第二心音
5780-22-3,心房音
5780-22-4,第二心音
5780-3-1,靜止心率
5780-3-2,心血管疾病
5780-3-3,聽診器
5780-6-1,管道
5780-6-2,兩棲動物
5780-6-3,雙循環泵
2500-1-1,微波訊號
2500-1-2,類比訊號
2500-1-3,90年代
2500-1-4,法國電信
6169-1-1,15個
6169-1-2,自由聯合關係
6169-1-3,1964年
6169-2-1,完成了內部自治的體制
6169-2-2,阿瓦魯阿
6169-2-3,火山活動
6089-1-1,在軌道上驅動列車
6089-1-2,在列車前面拉動
6089-1-3,縱貫鐵路山線段
6089-3-1,喬治·史蒂芬生
